id,bedrooms,price,reviews_per_month
9020905,1,35.00,0.35
1057560,3,100.00,1.95
11050879,1,60.00,
10495669,1,1,000.00,2.79
17409731,1,79.00,
8529001,1,30.00,0.13
2761815,1,65.00,0.20
14976288,2,90.00,1.63
5545640,1,28.00,0.77
2335410,2,60.00,0.39
7447050,1,100.00,0.82
7217670,1,22.00,
14459358,2,89.00,5.74
16982048,1,21.00,7.85
3973113,2,62.00,0.71
4235251,0,60.00,0.07
6434799,2,75.00,4.77
7089305,1,26.00,0.48
15472850,2,110.00,0.57
5808385,0,65.00,3.75
14164181,1,55.00,3.17
5054632,1,70.00,2.25
3430979,1,52.00,1.57
12846301,1,25.00,
17538347,1,100.00,
13108436,1,37.00,
7740638,3,350.00,0.43
8724942,2,120.00,0.86
13605005,1,20.00,0.77
11311237,1,68.00,1.50
7477308,1,42.00,4.26
16907268,2,72.00,4.52
9001305,1,25.00,0.21
16390073,0,59.00,0.61
15210318,1,42.00,3.37
15265221,1,53.00,0.19
18093830,1,80.00,
18093759,1,40.00,
6559253,1,25.00,8.46
13440524,2,85.00,2.44
12228095,3,45.00,0.08
14233157,2,250.00,
13800259,1,140.00,
4690740,4,160.00,0.33
6783343,1,26.00,3.88
14620305,0,90.00,0.17
4952788,1,49.00,
12358303,1,100.00,1.72
6296181,1,85.00,2.54
3150371,1,36.00,2.33
10130641,1,150.00,0.19
4692170,4,160.00,0.15
6755257,0,100.00,0.36
463246,1,65.00,0.22
3314013,3,78.00,0.06
13799511,2,180.00,5.00
14325021,2,46.00,
10130666,1,150.00,0.41
17960977,1,52.00,
3837487,2,125.00,2.15
7867903,2,90.00,3.78
6622630,1,28.00,
13634980,1,50.00,1
13340029,1,60.00,
15043874,2,84.00,0.49
6491396,0,55.00,3.41
4721837,1,49.00,5.02
8651758,1,70.00,0.25
8261291,1,19.00,0.05
14421070,1,59.00,0.74
17468476,1,90.00,
9833524,1,73.00,0.67
3378181,1,85.00,2.69
5639157,1,65.00,4.40
12976589,0,65.00,0.78
12490634,0,60.00,4.30
14486045,1,85.00,4.70
14092833,2,60.00,1.14
17500699,2,51.00,2
2070750,1,20.00,0.60
2590506,3,100.00,0.28
9309097,2,150.00,2.06
6491005,0,54.00,2.50
3746770,1,55.00,2.95
5417939,1,25.00,1.53
15369925,1,79.00,
14648958,1,29.00,0.15
17630604,1,35.00,
6023081,1,52.00,
17966623,2,102.00,
15927454,2,100.00,4.50
624703,1,30.00,4.62
